level,target,predictor,coef,r2,n
RAW,LANGUAGE_ST_RAW_SUM,__intercept__,-4.5777140655604305e-14,1.0,452
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_SIMILARITY,1.000000000000001,1.0,452
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_VOCABULARY,0.9999999999999996,1.0,452
RAW,LANGUAGE_ST_RAW_SUM,LANGUAGE_ST_RAW_INFORMATION,0.9999999999999994,1.0,452
RAW,MEMORY_ST_RAW_AudImm,__intercept__,2.3725789450399602e-14,1.0,425
RAW,MEMORY_ST_RAW_AudImm,MEMORY_ST_RAW_LogMemI,0.9999999999999982,1.0,425
RAW,MEMORY_ST_RAW_AudImm,MEMORY_ST_RAW_VerPairI,1.0000000000000009,1.0,425
RAW,MEMORY_ST_RAW_VisImm,__intercept__,4.587531987464452e-14,1.0,425
RAW,MEMORY_ST_RAW_VisImm,MEMORY_ST_RAW_FacI,0.9999999999999984,1.0,425
RAW,MEMORY_ST_RAW_VisImm,MEMORY_ST_RAW_FamPicI,0.9999999999999998,1.0,425
RAW,MEMORY_ST_RAW_WorMem,__intercept__,-1.5455686999356247e-14,1.0,425
RAW,MEMORY_ST_RAW_WorMem,MEMORY_ST_RAW_LetNumSeq,0.9999999999999996,1.0,425
RAW,MEMORY_ST_RAW_WorMem,MEMORY_ST_RAW_SpaTotal,1.0000000000000002,1.0,425
